REGISTRATION,aircraft_type,ON BLOCK,OFF BLOCK,parking_stand,FROM,TO,ARR,DEP,operator_airline,category,aircraft_size,airline_tier,stand_zone,IS_SYNTHETIC,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
PK-GQK,A 320,16:04,,A2,WARA,,QG 0165,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BON,G IV,16:54,18:15,B7,WAHP,RW06,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
VP-CTC,G 7500,16:57,17:31,B3,WSSL,HGR,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-86,,,,,,,,,,,,,,True,B733,TRAVIRA,CHARTER,B3
PK-JRB,B 733,13:56,15:01,B10,SA12,WAAA,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-SUSI-288,,,,,,,,,,,,,,True,C208,SUSI AIR,COMMERCIAL,A0
SYNTH-264,,,,,,,,,,,,,,True,B742,BBN,CARGO,B11
PK-JRB,B 733,17:02,19:06,B12,WAMT,WALL,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
N-198RL,G V,5:15,7:22,B7,HGR,WILL,,,TRAVIRA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-111,,,,,,,,,,,,,,True,G IV,AFM,CHARTER,B4
SYNTH-46,,,,,,,,,,,,,,True,B737,BATIK AIR,COMMERCIAL,A3
SYNTH-490,,,,,,,,,,,,,,True,A320,FLY JAYA,COMMERCIAL,A2
SYNTH-546,,,,,,,,,,,,,,True,A321,CITILINK,COMMERCIAL,A1
PK-BKQ,A 320,17:30,19:55,B1,WARR,WIMM,ID 7514,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKP,A 320,5:59,7:38,B1,SA06,WIPP,-,ID 7053,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YSH,B 733,20:09,22:09,B11,WAGG,WAAA,IL 7141,IL 759,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUF,A 320,15:56,16:49,B6,WARR,WIPP,ID 7514,ID 7059,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YST,B 733,11:27,21:15,B11,WAOO,WAAA,IL 726,IL 723,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-191,,,,,,,,,,,,,,True,ATR42,FLY JAYA,COMMERCIAL,B1
SYNTH-488,,,,,,,,,,,,,,True,A321,CITILINK,COMMERCIAL,A2
PK-YSH,B 733,10:17,12:51,B11,WIOO,WIKK,IL 742,IL 715,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-SUSI-25,,,,,,,,,,,,,,True,PC12,SUSI AIR,COMMERCIAL,A0
PK-NMI,B 733,20:03,20:26,B11,WALL,SA02,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BON,G IV,15:03,15:46,B4,WAMP,SA02,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUS,A 320,11:31,12:27,A1,WAHI,WARR,ID 7540,ID 7515,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-104,,,,,,,,,,,,,,True,B737,CITILINK,COMMERCIAL,B1
SYNTH-84,,,,,,,,,,,,,,True,B350,PREMI,CHARTER,B3
PK-BKV,A 320,12:40,13:41,B8,WAHS,WARR,ID 7556,ID 7501,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LAM,A 320,17:19,18:31,B5,WAHS,WIBB,ID 7558,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-352,,,,,,,,,,,,,,True,A320,GARUDA,COMMERCIAL,B3
SYNTH-145,,,,,,,,,,,,,,True,B738,PELITA,COMMERCIAL,A1
SYNTH-SUSI-372,,,,,,,,,,,,,,True,PC12,SUSI AIR,COMMERCIAL,A0
N-721GA,G VII,6:58,8:08,B4,SA03,WALG,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-199,,,,,,,,,,,,,,True,B737,PELITA,COMMERCIAL,A1
SYNTH-436,,,,,,,,,,,,,,True,A320,PELITA,COMMERCIAL,A3
SYNTH-SUSI-26,,,,,,,,,,,,,,True,C172,SUSI AIR,COMMERCIAL,A2
N-777ZH,G VI,4:02,5:47,B5,RE01,WAEH,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-217,,,,,,,,,,,,,,True,CL850,JETSET,CHARTER,B5
SYNTH-124,,,,,,,,,,,,,,True,B733,TRAVIRA,CHARTER,B4
PK-BKT,A 320,20:41,,B1,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-117LR,LJ 55,10:25,12:13,B6,NSA12,WSSL,,,B.G.S,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,13:57,14:23,B1,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAF,A 320,12:42,13:39,A1,WAHS,WAHI,ID 7556,ID 7539,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BMB,EMB 135,18:56,20:20,B3,WITC,SA19,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-PAH,ATR 72,16:26,,A2,WIDM,,IP 7301,,PELITA,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GJV,ATR 72,13:35,14:12,B1,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-254,,,,,,,,,,,,,,True,C404,TRAVIRA,CHARTER,B6
SYNTH-233,,,,,,,,,,,,,,True,B733,JIP,CHARTER,B6
PK-TWV,BELL 412,7:12,8:22,B7,HGR,TAMBLING,,,TRANSWISATA,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-CEO,HK 800,4:43,6:25,B5,RW07,WADL,,CEO 99,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BON,G IV,7:16,10:06,B5,SA09,WIMM,,CEO 54,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-500,,,,,,,,,,,,,,True,CRV,TRI MG,CARGO,B4
PK-RJS,AW 139,8:12,9:13,B7,HGR,KALIAGE,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUG,A 320,17:58,18:44,A3,WAHS,WIBB,ID 7558,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GMY,B 738,22:55,,B2,B5,,,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUK,A 320,9:00,9:51,B8,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
N-410F,FAL8X,13:40,16:11,B7,SA10,WBGG,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUQ,A 320,8:01,8:41,A3,WIBB,WARR,ID 7066,ID 7513,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUO,A 320,16:10,16:53,A3,WIPP,WARR,ID 7052,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-SUSI-357,,,,,,,,,,,,,,True,PC6,SUSI AIR,COMMERCIAL,A1
T7-977,G IV,5:30,5:59,B9,SA14,B5,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BKF,A 320,21:18,,B7,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQL,A 320,11:50,12:32,A2,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GQF,A 320,20:22,,B1,WARR,,QG 0173,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-0,,,,,,,,,,,,,,True,A321,GARUDA,COMMERCIAL,B2
SYNTH-341,,,,,,,,,,,,,,True,G IV,TRAVIRA,CHARTER,A2
T7-777,BBJ,-,,A1,,,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BON,G IV,10:39,12:00,B4,WATT,WARR,CJS 54,CJS 54,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YST,B 733,10:02,13:56,B11,WAGG,WAOO,IL 714,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-346,,,,,,,,,,,,,,True,B738,BATIK AIR,COMMERCIAL,A1
B-8160,G V,22:04,,B4,RE02,,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAF,A 320,13:33,22:37,B8,WADD,B1,ID 7308,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LZH,A 320,12:42,13:59,B7,WARR,WIPP,ID 7516,ID 7051,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAJ,A 320,15:02,16:01,A3,WARA,WADD,ID 7582,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-336,,,,,,,,,,,,,,True,B742,AIRNESIA,CARGO,B10
PK-GMW,B 738,16:37,17:23,B2,WARR,WARR,GA 0331,GA 3304,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
P-8001,HK 400,15:21,15:37,B5,WAHS,WIHP,,,POLICE,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-282,,,,,,,,,,,,,,True,B733,JIP,CHARTER,B7
PK-GQF,A 320,16:03,16:50,B1,WARA,WARR,QG 0165,QG 0172,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-201,,,,,,,,,,,,,,True,CRV,TRIGANA,CARGO,B12
SYNTH-217,,,,,,,,,,,,,,True,DC10,TRIGANA,CARGO,B12
SYNTH-104,,,,,,,,,,,,,,True,A320,PELITA,COMMERCIAL,A1
PK-GQS,A 320,11:41,12:32,A3,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-SUSI-117,,,,,,,,,,,,,,True,C172,SUSI AIR,COMMERCIAL,A0
PK-GQA,A 320,11:36,12:37,B2,WADD,WARA,QG 0197,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
VP-BKM,CL 605,7:45,10:09,B6,SA01,WSSL,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
M-JGVJ,GLEX,6:08,9:11,B5,RE05,RKSS,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-674,,,,,,,,,,,,,,True,ATR72,SUSI AIR,COMMERCIAL,B5
SYNTH-169,,,,,,,,,,,,,,True,B737,FLY JAYA,COMMERCIAL,B1
N-61WX,G VI,17:35,18:09,B4,OMSJ,SA17,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
VP-CWZ,G V,20:08,,B4,SA02,,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-JRB,B 733,9:00,10:30,B10,WIDN,WAOO,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUY,A 320,8:38,9:25,B1,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKQ,A 320,14:30,15:24,A1,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-NMI,B 733,6:32,7:36,B13,WAAA,WAOO,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-SUSI-173,,,,,,,,,,,,,,True,C172,SUSI AIR,COMMERCIAL,A0
PK-GJV,ATR 72,16:52,21:32,A1,WAHH,B5,QG 1105,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GGC,B 735,18:21,20:40,B13,WAGG,SA17,QG 7453,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-169,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A3
PK-NMI,B 733,4:20,7:08,B10,WAAA,WAAA,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-CAA,CT 700,15:01,15:37,B5,WAHS,WIRR,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BKV,A 320,22:44,,B6,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-NMI,B 733,13:18,16:42,B13,WAAA,WIOO,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
T7-RSG,G V,21:38,22:14,B5,WSSL,SA22,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-MGZ,B 733,4:56,6:25,B11,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-VVO,C 208,10:44,11:59,A0,WICN,WICN,SI 205,SI 204,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GFD,B 738,16:35,17:32,B1,WARR,WADD,GA 0331,GA 0462,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUR,A 320,12:50,13:40,B1,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GNC,B 738,22:02,,B2,WADD,,GA 0463,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKT,A 320,12:32,13:34,B9,WAHS,WARR,ID 7556,ID 7501,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BKU,A 320,18:00,,B10,WIPP,,ID 7052,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-VVM,C 208,9:56,10:51,A0,WICC,WICC,SI 231,SI 230,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKF,A 320,13:46,14:43,A2,WARR,WARR,ID 7520,ID 7501,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-45,,,,,,,,,,,,,,True,B738,GARUDA,COMMERCIAL,B2
T7-MYR,G VII,12:34,13:23,B9,RPLL,HGR,,,TRAVIRA,CHARTER,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
PK-GJT,ATR 72,16:45,,A2,WAHH,,QG 1105,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-654,,,,,,,,,,,,,,True,B737,PELITA,COMMERCIAL,B6
SYNTH-SUSI-248,,,,,,,,,,,,,,True,PC6,SUSI AIR,COMMERCIAL,A1
PK-GNC,B 738,11:47,13:25,B1,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUU,A 320,13:18,14:22,A1,,WAHI,ID 7040,ID 7539,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-269,,,,,,,,,,,,,,True,B738,GARUDA,COMMERCIAL,B1
PK-GTK,A 320,14:02,14:45,B1,WIPP,WARR,QG 0089,QG 0174,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-23,,,,,,,,,,,,,,True,B737,BATIK AIR,COMMERCIAL,A3
SYNTH-305,,,,,,,,,,,,,,True,B733,BBN,CARGO,B11
SYNTH-304,,,,,,,,,,,,,,True,G IV,GAPURA,CHARTER,B1
PK-FJA,ATR 72,15:13,15:51,B1,WAHH,WAHH,KS 105,KS 106,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-37,,,,,,,,,,,,,,True,B733,TRAVIRA,CHARTER,B3
PK-BKP,A 320,10:42,11:27,A1,WIPP,WAHQ,ID 7054,ID 7531,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-30,,,,,,,,,,,,,,True,B738,GARUDA,COMMERCIAL,B2
SYNTH-517,,,,,,,,,,,,,,True,ATR42,CITILINK,COMMERCIAL,A2
PK-LAL,A 320,21:35,22:10,A3,WARR,SA15,ID 7518,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-116,,,,,,,,,,,,,,True,ATR42,GARUDA,COMMERCIAL,B2
SYNTH-47,,,,,,,,,,,,,,True,CL850,TAS,CHARTER,B3
T7-808,G VI,6:45,7:47,B7,HGR,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-MGZ,B 733,5:07,6:24,B13,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-700,,,,,,,,,,,,,,True,B738,PELITA,COMMERCIAL,B12
PK-CEO,HK 800,19:08,20:30,B4,WATO,A1,CJS 99,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-649,,,,,,,,,,,,,,True,ATR72,SUSI AIR,COMMERCIAL,B3
T7-MRC,EMB 135,6:05,8:10,B4,SA09,WITT,,,AMM,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-292,,,,,,,,,,,,,,True,B742,TRI MG,CARGO,B11
PK-LAZ,A 320,11:35,12:29,A1,WAHI,WARR,ID 7540,ID 7515,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUU,A 320,6:09,9:17,A1,SA06,WADD,-,ID 7309,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-PAH,ATR 72,18:36,20:08,A2,WIDM,SA13,IP 7301,,PELITA,COMMERCIAL,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAT,A 320,10:18,14:04,B7,WARA,WIEE,ID 7580,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-639,,,,,,,,,,,,,,True,B737,PELITA,COMMERCIAL,B5
PK-LUQ,A 320,18:34,19:18,B1,WAHS,WIBB,ID 7558,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAO,A 320,13:42,14:24,A2,WADD,WIEE,ID 7308,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-321,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A2
PK-LZH,A 320,21:41,22:18,A1,WAHI,SA12,ID 7530,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
EP-IGA,A 340,13:08,14:15,B5,SA13,OIII,,IRAN 03,GAPURA,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
N-977JH,CT 680,11:45,13:07,B5,NSA18,WICC,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-GBS,EMB 135,12:24,14:50,B4,WADD,WADD,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-261,,,,,,,,,,,,,,True,CRV,TRIGANA,CARGO,B11
SYNTH-101,,,,,,,,,,,,,,True,B742,JAYAWIJAYA,CARGO,B13
SYNTH-SUSI-92,,,,,,,,,,,,,,True,C206,SUSI AIR,COMMERCIAL,A1
SYNTH-105,,,,,,,,,,,,,,True,B733,TRIGANA,CARGO,B13
PK-CEO,HK 800,8:12,9:35,A3,WATK,A2,CEO99,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-305,,,,,,,,,,,,,,True,B733,GAPURA,CHARTER,B1
SYNTH-426,,,,,,,,,,,,,,True,ATR42,BATIK AIR,COMMERCIAL,A1
PK-GQS,A 320,12:07,12:47,B1,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-302,,,,,,,,,,,,,,True,B350,PTN,CHARTER,B1
PK-OTR,ATR 72,22:18,,B5,SA12,,,,TAS,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,9:28,10:01,B1,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-195,,,,,,,,,,,,,,True,B733,B.B.N AIRLINES,CARGO,B12
T7-ARN,G VI,12:20,13:30,B9,WAGI,HGR,DWC 009,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GNF,B 738,12:01,13:12,B2,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-169,,,,,,,,,,,,,,True,C404,GAPURA,CHARTER,B4
PK-BKP,A 320,10:34,11:12,A2,WARA,WARA,ID 7580,ID 7583,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-138,,,,,,,,,,,,,,True,B733,BBN,CARGO,B13
PK-LUO,A 320,20:36,22:06,A1,WADD,SA05,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-306,,,,,,,,,,,,,,True,MD11,B.B.N AIRLINES,CARGO,B11
N-721GA,G VII,16:39,17:07,B3,WALG,SA12,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-808,G VI,6:49,8:19,B4,A1,WAHH,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-173,,,,,,,,,,,,,,True,ATR42,SUSI AIR,COMMERCIAL,A0
SYNTH-620,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,B2
SYNTH-362,,,,,,,,,,,,,,True,CRV,TRIGANA,CARGO,B10
SYNTH-166,,,,,,,,,,,,,,True,C404,JIP,CHARTER,B4
PK-LUQ,A 320,6:10,7:06,A2,WARR,WIPP,ID 7508,ID 7053,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKU,A 320,18:05,19:01,B2,WIPP,WARR,ID 7052,ID 7519,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-154,,,,,,,,,,,,,,True,DC10,TRIGANA,CARGO,B12
PK-GQE,A 320,17:24,18:15,B9,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-83,,,,,,,,,,,,,,True,B742,B.B.N AIRLINES,CARGO,B13
PK-BLA,A 320,18:03,18:48,B3,WARR,WARR,ID 7512,ID 7519,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GGC,B 735,17:12,19:45,B12,WAGG,SA12,QG 7453,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-420,,,,,,,,,,,,,,True,MD11,BBN,CARGO,B9
PK-RJS,AW 139,8:31,9:29,B6,HGR,KALIAGE,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BKY,A 320,18:56,19:28,A2,WIEE,WARR,ID 7108,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GJV,ATR 72,18:01,18:39,A1,WAHH,WIPO,QG 1105,QG 1998,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-FJA,ATR 72,7:04,7:42,B2,WAHH,WAHH,KS 101,KS 102,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-253,,,,,,,,,,,,,,True,B742,JAYAWIJAYA,CARGO,B12
